itot;pridtot;lon;lat;xtot;ytot;ztot;ttot;laftot;
266;9;10.698517;59.520877;-242857;-378966;38;-0.2;1;
 282;9;5.624396;58.78539;-539765;-429634;43;3.2;1;
 231;9;17.104938;61.722195;110892;-140282;7;-5.6;1;
 348;9;13.923561;56.286098;-66861;-747619;70;1.7;1;
 108;9;13.363522;66.78335;-71890;421921;15;-3.1;1;
 266;9;11.125852;60.080465;-215009;-318296;168;-2.2;1;
 324;9;8.556145;56.481963;-397407;-706335;32;6.9;1;
 290;9;15.577355;58.441518;33701;-507245;41;-2.1;1;
 348;9;13.080412;55.66615;-121292;-815789;5;2.5;1;
 70;9;16.530127;68.798046;61868;646615;56;-2.4;1;
 245;9;8.568376;60.625959;-350503;-246512;459;-2.1;1;
 194;9;22.904242;62.776724;401058;-147;8;-11.5;1;
 186;9;10.730534;63.593151;-210995;72964;130;-3.7;1;
 266;9;10.667043;59.953736;-241386;-330749;14;-1.6;1;
 265;9;9.589504;59.217418;-308180;-407928;41;7.9;1;
 243;9;5.679404;60.367074;-511173;-255758;20;1.6;1;
 347;9;12.541203;55.818425;-154696;-797583;31;2.6;1;
 365;9;9.584418;55.000943;-348112;-877518;39;19;1;
 245;9;9.138815;60.82745;-317465;-227155;829;-4.7;1;
 348;9;13.133597;55.6699;-117920;-815468;19;4;1;
 186;9;10.420686;63.405378;-227768;53190;69;-3.3;1;
 270;9;16.577494;59.604134;88894;-376728;10;-1.6;1;
 242;9;5.310294;60.397551;-530756;-249412;15;3.5;1;
 227;9;11.345674;61.071648;-196557;-208876;238;-2;1;
 345;9;9.47729;55.850522;-346812;-782043;59;3.8;1;
 307;9;12.267366;57.761133;-162686;-579859;50;3.4;1;
 266;9;10.801557;59.881634;-234427;-339258;184;-2;1;
 368;9;13.188291;55.370707;-115410;-849087;7;4.3;1;
 282;9;5.795997;58.767629;-530236;-433021;130;3.3;1;
 327;9;12.280797;57.086081;-165075;-655225;9;2.1;1;
 236;9;24.084039;61.197964;485269;-166077;7;-3.2;1;
 265;9;9.663648;59.668301;-299803;-358225;773;-0.2;1;
 242;9;5.324898;60.391486;-530063;-250200;2;0.3;1;
 350;9;16.082818;56.387545;67066;-736262;1;3.3;1;
 186;9;10.296441;63.158486;-235943;26256;49;-3.3;1;
 266;9;10.95184;59.944801;-225604;-332776;165;-1.1;1;
 266;9;10.864901;60.084776;-229441;-316915;186;-2.4;1;
 266;9;10.607069;59.893051;-245183;-337264;8;-0.3;1;
 271;9;17.964444;59.239048;168882;-414597;50;-2.2;1;
 251;9;17.457359;60.566022;134364;-268158;20;-4;1;
 242;9;5.475997;60.410272;-521538;-249368;69;-0.3;1;
 246;9;10.595652;60.718887;-239528;-245508;364;-3.1;1;
